{'loss': 1.7571, 'grad_norm': 0.38426828384399414, 'learning_rate': 0.0, 'epoch': 0.04}                                                                                                                          
{'loss': 1.3161, 'grad_norm': 0.34843239188194275, 'learning_rate': 4e-05, 'epoch': 0.08}                                                                                                                        
{'loss': 1.9236, 'grad_norm': 0.3847983181476593, 'learning_rate': 8e-05, 'epoch': 0.12}                                                                                                                         
{'loss': 1.8496, 'grad_norm': 0.46772387623786926, 'learning_rate': 0.00012, 'epoch': 0.16}                                                                                                                      
{'loss': 1.9966, 'grad_norm': 0.5929513573646545, 'learning_rate': 0.00016, 'epoch': 0.2}                                                                                                                        
{'loss': 1.5802, 'grad_norm': 1.1095623970031738, 'learning_rate': 0.0002, 'epoch': 0.24}                                                                                                                        
{'loss': 1.5415, 'grad_norm': 0.37200936675071716, 'learning_rate': 0.00019636363636363636, 'epoch': 0.28}                                                                                                       
{'loss': 1.2487, 'grad_norm': 0.22915878891944885, 'learning_rate': 0.00019272727272727274, 'epoch': 0.32}                                                                                                       
{'loss': 1.327, 'grad_norm': 0.33592110872268677, 'learning_rate': 0.0001890909090909091, 'epoch': 0.36}                                                                                                         
{'loss': 0.9676, 'grad_norm': 0.2744627594947815, 'learning_rate': 0.00018545454545454545, 'epoch': 0.4}                                                                                                         
{'loss': 1.1498, 'grad_norm': 0.5112196803092957, 'learning_rate': 0.00018181818181818183, 'epoch': 0.44}                                                                                                        
{'loss': 0.8479, 'grad_norm': 0.33721238374710083, 'learning_rate': 0.0001781818181818182, 'epoch': 0.48}                                                                                                        
{'loss': 0.6539, 'grad_norm': 0.2695443630218506, 'learning_rate': 0.00017454545454545454, 'epoch': 0.52}                                                                                                        
{'loss': 0.8278, 'grad_norm': 0.46854105591773987, 'learning_rate': 0.0001709090909090909, 'epoch': 0.56}                                                                                                        
{'loss': 0.6163, 'grad_norm': 0.5240184664726257, 'learning_rate': 0.00016727272727272728, 'epoch': 0.6}                                                                                                         
